Team,VABLA,VAASH,VAPOR,VAGLE,MDSEV,VAFAL,MDOWI,MDEDG,VAALE,MDBET
frc1086,193,19,94,11,157,94,176,145,86,104
frc1111,283,143,226,151,22,61,46,5,55,54
frc1123,235,92,176,100,69,15,78,61,30,24
frc116,239,104,188,112,78,24,88,78,41,33
frc122,260,85,27,78,219,156,236,206,148,166
frc1262,108,205,239,192,311,265,323,316,280,275
frc1389,251,106,190,115,43,26,63,46,42,8
frc1418,234,89,173,98,72,5,81,58,24,27
frc1446,257,100,185,109,41,38,59,42,30,49
frc1522,207,30,99,25,156,101,172,144,92,110
frc1599,207,30,99,25,155,101,172,144,92,110
frc1610,273,108,52,100,219,179,261,228,171,189
frc1629,279,241,326,255,163,159,159,182,173,152
frc1719,304,150,234,158,33,76,11,52,83,69
frc1727,309,152,236,161,35,79,19,55,86,71
frc1731,214,85,169,94,95,42,105,92,56,51
frc1793,278,103,27,96,269,174,299,257,166,184
frc1885,213,97,181,105,74,28,91,82,43,37
frc1895,227,91,175,100,85,31,94,85,47,40
frc1908,326,151,69,144,208,241,232,204,240,235
frc1915,264,105,189,113,42,36,63,36,34,45
frc2028,268,93,31,86,204,164,243,213,156,173
frc2068,236,91,175,99,78,33,96,87,42,42
frc2106,181,36,117,25,180,140,196,167,109,149
frc2186,239,104,188,112,78,24,88,78,40,33
frc2199,295,152,236,161,35,78,16,55,93,71
frc2363,258,83,35,77,218,154,234,205,146,164
frc2377,285,159,219,143,13,73,34,30,68,50
frc2421,237,85,169,93,65,20,84,58,20,30
frc2534,298,153,237,161,38,83,20,55,84,67
frc2537,280,130,214,138,27,55,35,41,61,44
frc2849,270,125,209,133,26,45,37,37,56,38
frc2890,319,132,38,144,283,203,260,278,195,212
frc2900,246,95,179,104,67,17,78,66,29,22
frc2912,264,105,189,113,42,36,63,36,34,45
frc2914,251,129,223,138,53,26,74,57,41,12
frc2961,261,99,183,107,49,31,79,43,32,32
frc2988,205,129,213,137,100,61,96,109,75,69
frc2998,196,28,96,18,161,99,179,152,91,109
frc3136,201,7,100,20,150,87,169,138,79,97
frc3359,285,110,12,103,243,181,260,230,173,191
frc3361,118,98,178,87,197,136,197,187,151,145
frc3373,215,87,171,95,97,43,106,93,57,52
frc339,226,50,134,59,99,60,120,92,51,76
frc346,205,44,112,32,179,115,198,165,107,125
frc3748,283,133,217,141,24,59,27,43,64,48
frc3793,250,132,216,140,56,52,55,75,66,44
frc384,191,26,100,14,166,102,182,155,94,112
frc3939,56,156,234,145,236,190,248,240,205,199
frc401,11,199,277,188,278,233,290,283,247,242
frc404,217,51,92,43,186,122,204,173,114,132
frc4099,264,127,211,136,67,49,72,78,64,37
frc422,201,31,92,22,164,102,181,151,94,111
frc4286,201,26,87,19,159,97,177,148,89,107
frc4456,260,136,230,145,49,34,63,50,50,16
frc4464,263,144,203,127,25,47,43,41,50,31
frc4472,251,72,156,80,65,24,85,57,17,34
frc449,254,109,193,117,34,29,47,37,46,21
frc4505,295,146,230,154,29,72,8,48,83,65
frc4541,279,129,213,137,8,55,33,27,58,47
frc4638,261,115,200,124,52,36,68,63,50,29
frc4821,257,147,231,155,50,35,67,56,45,23
frc5115,267,113,197,121,41,42,55,44,58,24
frc5243,237,91,175,99,80,27,90,73,31,36
frc5338,229,118,202,127,85,38,82,86,53,46
frc539,204,36,101,27,169,107,186,158,99,116
frc540,191,30,109,16,172,109,188,158,101,118
frc5549,234,89,173,98,72,5,81,58,25,27
frc5587,252,90,174,98,62,23,79,50,20,31
frc5724,45,169,248,158,249,203,261,254,218,212
frc5804,198,34,106,20,172,109,188,160,100,119
frc5830,284,144,228,152,13,55,37,27,52,44
frc5841,265,138,223,147,59,61,58,78,75,54
frc5954,181,95,144,82,237,173,252,224,165,182
frc611,242,96,180,105,61,11,74,66,33,17
frc612,228,100,184,109,76,22,85,76,37,31
frc614,254,87,171,96,60,26,79,52,5,38
frc617,208,33,80,26,167,104,183,155,96,113
frc6189,174,63,139,50,204,141,220,192,133,150
frc619,143,70,151,59,167,122,185,172,136,131
frc6194,167,66,141,56,210,167,224,196,139,176
frc620,238,99,183,107,72,18,81,67,33,30
frc623,238,99,183,107,72,18,84,67,33,27
frc6239,263,106,190,114,42,34,64,35,37,55
frc6326,283,137,221,146,20,58,27,39,66,51
frc6504,241,88,172,97,63,9,73,56,22,19
frc6802,109,297,376,286,377,331,389,380,346,340
frc686,256,144,228,153,72,64,60,92,79,57
frc6863,270,125,209,134,27,46,36,39,57,38
frc6882,226,50,134,59,99,60,116,93,51,69
frc7429,197,36,109,23,177,115,194,164,107,124
frc7770,311,165,249,174,45,86,45,64,97,79
frc7886,265,138,223,147,59,61,58,78,75,54
frc8197,263,107,191,116,32,43,50,28,36,29
frc8230,250,89,173,98,61,21,84,51,24,30
frc8326,251,129,223,138,53,26,74,57,41,12
frc836,293,103,193,111,90,77,107,74,71,94
frc8514,282,143,227,152,38,63,33,58,78,56
frc8590,235,92,176,100,69,15,78,61,30,24
frc8592,235,92,176,100,69,15,78,61,30,24
frc8622,281,149,232,157,9,56,37,23,54,49
frc8726,269,128,212,136,49,48,49,68,62,40
frc888,283,134,218,143,31,59,32,46,65,51
frc9003,119,172,221,158,274,229,286,279,243,238
frc9033,245,89,173,98,54,17,81,53,23,26
frc9072,275,128,212,136,16,50,28,35,57,43
frc9214,288,141,17,126,264,184,241,259,176,193
frc9235,223,112,196,120,105,39,102,91,54,52
frc977,164,137,173,123,254,214,272,264,206,224
