Team,E1,E2,E1_COST,E2_COST,TOTAL_COST
frc1086,VAPOR,VAGLE,94,11,105
frc1111,MDEDG,MDSEV,5,22,27
frc1123,MDEDG,VAFAL,61,15,76
frc116,MDEDG,VAFAL,78,24,102
frc122,VAPOR,VAGLE,27,78,105
frc1262,VABLA,VAPOR,108,239,347
frc1389,MDEDG,VAFAL,46,26,72
frc1418,MDEDG,VAFAL,58,5,63
frc1446,MDEDG,MDOWI,42,59,101
frc1522,VAPOR,VAGLE,99,25,124
frc1599,VAPOR,VAGLE,99,25,124
frc1610,VAPOR,VAGLE,52,100,152
frc1629,MDSEV,MDOWI,163,159,322
frc1719,MDSEV,MDOWI,33,11,44
frc1727,MDSEV,MDOWI,35,19,54
frc1731,MDEDG,VAFAL,92,42,134
frc1793,VAPOR,VAGLE,27,96,123
frc1885,MDSEV,VAFAL,74,28,102
frc1895,MDEDG,VAFAL,85,31,116
frc1908,VAPOR,VAGLE,69,144,213
frc1915,MDEDG,MDOWI,36,63,99
frc2028,VAPOR,VAGLE,31,86,117
frc2068,MDSEV,VAFAL,78,33,111
frc2106,VAPOR,VAGLE,117,25,142
frc2186,MDEDG,VAFAL,78,24,102
frc2199,MDSEV,MDOWI,35,16,51
frc2363,VAPOR,VAGLE,35,77,112
frc2377,MDSEV,MDOWI,13,34,47
frc2421,MDEDG,VAFAL,58,20,78
frc2534,MDSEV,MDOWI,38,20,58
frc2537,MDSEV,MDOWI,27,35,62
frc2849,MDSEV,MDOWI,26,37,63
frc2890,VAPOR,VAGLE,38,144,182
frc2900,MDEDG,VAFAL,66,17,83
frc2912,MDEDG,MDSEV,36,42,78
frc2914,MDSEV,VAFAL,53,26,79
frc2961,MDEDG,VAFAL,43,31,74
frc2988,MDSEV,VAFAL,100,61,161
frc2998,VAPOR,VAGLE,96,18,114
frc3136,VAPOR,VAGLE,100,20,120
frc3359,VAPOR,VAGLE,12,103,115
frc3361,VABLA,VAGLE,118,87,205
frc3373,MDEDG,VAFAL,93,43,136
frc339,VAPOR,VAGLE,134,59,193
frc346,VAPOR,VAGLE,112,32,144
frc3748,MDSEV,MDOWI,24,27,51
frc3793,MDSEV,MDOWI,56,55,111
frc384,VAPOR,VAGLE,100,14,114
frc3939,VABLA,VAGLE,56,145,201
frc401,VABLA,VAGLE,11,188,199
frc404,VAPOR,VAGLE,92,43,135
frc4099,MDSEV,MDOWI,67,72,139
frc422,VAPOR,VAGLE,92,22,114
frc4286,VAPOR,VAGLE,87,19,106
frc4456,MDEDG,MDOWI,50,63,113
frc4464,MDSEV,MDOWI,25,43,68
frc4472,MDEDG,VAFAL,57,24,81
frc449,MDEDG,MDOWI,37,47,84
frc4505,MDSEV,MDOWI,29,8,37
frc4541,MDSEV,MDOWI,8,33,41
frc4638,MDSEV,VAFAL,52,36,88
frc4821,MDSEV,VAFAL,50,35,85
frc5115,MDEDG,MDOWI,44,55,99
frc5243,MDEDG,VAFAL,73,27,100
frc5338,MDEDG,VAFAL,86,38,124
frc539,VAPOR,VAGLE,101,27,128
frc540,VAPOR,VAGLE,109,16,125
frc5549,MDEDG,VAFAL,58,5,63
frc5587,MDEDG,VAFAL,50,23,73
frc5724,VABLA,VAGLE,45,158,203
frc5804,VAPOR,VAGLE,106,20,126
frc5830,MDSEV,MDOWI,13,37,50
frc5841,MDSEV,MDOWI,59,58,117
frc5954,VAPOR,VAGLE,144,82,226
frc611,MDSEV,VAFAL,61,11,72
frc612,MDEDG,VAFAL,76,22,98
frc614,MDEDG,VAFAL,52,26,78
frc617,VAPOR,VAGLE,80,26,106
frc6189,VAPOR,VAGLE,139,50,189
frc619,VABLA,VAGLE,143,59,202
frc6194,VAPOR,VAGLE,141,56,197
frc620,MDEDG,VAFAL,67,18,85
frc623,MDEDG,VAFAL,67,18,85
frc6239,MDEDG,VAFAL,35,34,69
frc6326,MDSEV,MDOWI,20,27,47
frc6504,MDEDG,VAFAL,56,9,65
frc6802,VABLA,VAGLE,109,286,395
frc686,MDSEV,MDOWI,72,60,132
frc6863,MDSEV,MDOWI,27,36,63
frc6882,VAPOR,VAGLE,134,59,193
frc7429,VAPOR,VAGLE,109,23,132
frc7770,MDSEV,MDOWI,45,45,90
frc7886,MDSEV,MDOWI,59,58,117
frc8197,MDEDG,MDOWI,28,50,78
frc8230,MDEDG,VAFAL,51,21,72
frc8326,MDSEV,VAFAL,53,26,79
frc836,MDEDG,VAFAL,74,77,151
frc8514,MDSEV,MDOWI,38,33,71
frc8590,MDEDG,VAFAL,61,15,76
frc8592,MDEDG,VAFAL,61,15,76
frc8622,MDSEV,MDOWI,9,37,46
frc8726,MDSEV,MDOWI,49,49,98
frc888,MDSEV,MDOWI,31,32,63
frc9003,VABLA,VAPOR,119,221,340
frc9033,MDEDG,VAFAL,53,17,70
frc9072,MDSEV,MDOWI,16,28,44
frc9214,VAPOR,VAGLE,17,126,143
frc9235,MDEDG,VAFAL,91,39,130
frc977,VABLA,VAPOR,164,173,337
