Team,E1,E2,E1_COST,E2_COST
frc1086,VAPOR,VAGLE,94,11
frc1111,MDSEV,MDOWI,22,46
frc1123,MDBET,VAFAL,24,15
frc116,MDBET,VAFAL,33,24
frc122,VAPOR,VAGLE,27,78
frc1262,VABLA,VAPOR,108,239
frc1389,MDBET,VAFAL,8,26
frc1418,MDBET,VAFAL,27,5
frc1446,MDSEV,VAFAL,41,38
frc1522,VAPOR,VAGLE,99,25
frc1599,VAPOR,VAGLE,99,25
frc1610,VAPOR,VAGLE,52,100
frc1629,VABLA,MDOWI,279,159
frc1719,MDSEV,MDOWI,33,11
frc1727,MDSEV,MDOWI,35,19
frc1731,VABLA,VAFAL,214,42
frc1793,VAPOR,VAGLE,27,96
frc1885,VABLA,VAFAL,213,28
frc1895,MDBET,VAFAL,40,31
frc1908,VAPOR,VAGLE,69,144
frc1915,MDSEV,VAFAL,42,36
frc2028,VAPOR,VAGLE,31,86
frc2068,MDBET,VAFAL,42,33
frc2106,VABLA,VAGLE,181,25
frc2186,MDBET,VAFAL,33,24
frc2199,MDSEV,MDOWI,35,16
frc2363,VAPOR,VAGLE,35,77
frc2377,MDSEV,MDOWI,13,34
frc2421,MDBET,VAFAL,30,20
frc2534,MDSEV,MDOWI,38,20
frc2537,MDSEV,MDOWI,27,35
frc2849,MDSEV,MDOWI,26,37
frc2890,VAPOR,VAGLE,38,144
frc2900,MDBET,VAFAL,22,17
frc2912,MDSEV,VAFAL,42,36
frc2914,MDBET,VAFAL,12,26
frc2961,MDBET,VAFAL,32,31
frc2988,VABLA,MDBET,205,69
frc2998,VAPOR,VAGLE,96,18
frc3136,VAPOR,VAGLE,100,20
frc3359,VAPOR,VAGLE,12,103
frc3361,VABLA,VAGLE,118,87
frc3373,VABLA,VAFAL,215,43
frc339,VABLA,VAPOR,226,134
frc346,VAPOR,VAGLE,112,32
frc3748,MDSEV,MDOWI,24,27
frc3793,MDBET,MDOWI,44,55
frc384,VABLA,VAGLE,191,14
frc3939,VABLA,VAGLE,56,145
frc401,VABLA,VAGLE,11,188
frc404,VAPOR,VAGLE,92,43
frc4099,MDBET,VAFAL,37,49
frc422,VAPOR,VAGLE,92,22
frc4286,VAPOR,VAGLE,87,19
frc4456,MDBET,VAFAL,16,34
frc4464,MDSEV,MDOWI,25,43
frc4472,MDBET,VAFAL,34,24
frc449,MDBET,MDSEV,21,34
frc4505,MDSEV,MDOWI,29,8
frc4541,MDSEV,MDOWI,8,33
frc4638,MDBET,VAFAL,29,36
frc4821,MDBET,VAFAL,23,35
frc5115,MDBET,MDSEV,24,41
frc5243,MDBET,VAFAL,36,27
frc5338,MDBET,VAFAL,46,38
frc539,VAPOR,VAGLE,101,27
frc540,VABLA,VAGLE,191,16
frc5549,MDBET,VAFAL,27,5
frc5587,MDBET,VAFAL,31,23
frc5724,VABLA,VAGLE,45,158
frc5804,VABLA,VAGLE,198,20
frc5830,MDSEV,MDOWI,13,37
frc5841,MDBET,MDOWI,54,58
frc5954,VABLA,VAPOR,181,144
frc611,MDBET,VAFAL,17,11
frc612,MDBET,VAFAL,31,22
frc614,MDBET,VAFAL,38,26
frc617,VAPOR,VAGLE,80,26
frc6189,VABLA,VAGLE,174,50
frc619,VABLA,VAGLE,143,59
frc6194,VABLA,VAGLE,167,56
frc620,MDBET,VAFAL,30,18
frc623,MDBET,VAFAL,27,18
frc6239,MDSEV,VAFAL,42,34
frc6326,MDSEV,MDOWI,20,27
frc6504,MDBET,VAFAL,19,9
frc6802,VABLA,VAGLE,109,286
frc686,MDBET,MDOWI,57,60
frc6863,MDSEV,MDOWI,27,36
frc6882,VABLA,VAPOR,226,134
frc7429,VABLA,VAGLE,197,23
frc7770,MDSEV,MDOWI,45,45
frc7886,MDBET,MDOWI,54,58
frc8197,MDBET,MDSEV,29,32
frc8230,MDBET,VAFAL,30,21
frc8326,MDBET,VAFAL,12,26
frc836,MDSEV,VAFAL,90,77
frc8514,MDSEV,MDOWI,38,33
frc8590,MDBET,VAFAL,24,15
frc8592,MDBET,VAFAL,24,15
frc8622,MDSEV,MDOWI,9,37
frc8726,MDBET,MDOWI,40,49
frc888,MDSEV,MDOWI,31,32
frc9003,VABLA,VAPOR,119,221
frc9033,MDBET,VAFAL,26,17
frc9072,MDSEV,MDOWI,16,28
frc9214,VABLA,VAPOR,288,17
frc9235,VABLA,VAFAL,223,39
frc977,VABLA,VAPOR,164,173
