Team,E1,E2,E1_COST,E2_COST,TOTAL_COST
frc1086,VAGLE,VAASH,11,19,30
frc1111,MDSEV,MDOWI,22,46,68
frc1123,VAFAL,VAASH,15,92,107
frc116,VAFAL,MDOWI,24,88,112
frc122,VAPOR,VAGLE,27,78,105
frc1262,VABLA,VAPOR,108,239,347
frc1389,VAFAL,MDSEV,26,43,69
frc1418,VAFAL,VAASH,5,89,94
frc1446,VAFAL,MDSEV,38,41,79
frc1522,VAPOR,VAASH,99,30,129
frc1599,VAPOR,VAASH,99,30,129
frc1610,VABLA,VAPOR,273,52,325
frc1629,VABLA,MDOWI,279,159,438
frc1719,MDSEV,MDOWI,33,11,44
frc1727,MDSEV,MDOWI,35,19,54
frc1731,VABLA,VAASH,214,85,299
frc1793,VAPOR,VAGLE,27,96,123
frc1885,VABLA,VAASH,213,97,310
frc1895,VAFAL,VAASH,31,91,122
frc1908,VAPOR,VAGLE,69,144,213
frc1915,VAFAL,MDSEV,36,42,78
frc2028,VAPOR,VAGLE,31,86,117
frc2068,VAFAL,VAASH,33,91,124
frc2106,VABLA,VAGLE,181,25,206
frc2186,VAFAL,MDOWI,24,88,112
frc2199,MDSEV,MDOWI,35,16,51
frc2363,VAPOR,VAASH,35,83,118
frc2377,MDSEV,MDOWI,13,34,47
frc2421,VAFAL,VAASH,20,85,105
frc2534,MDSEV,MDOWI,38,20,58
frc2537,MDSEV,MDOWI,27,35,62
frc2849,MDSEV,MDOWI,26,37,63
frc2890,VAPOR,VAASH,38,132,170
frc2900,VAFAL,MDOWI,17,78,95
frc2912,VAFAL,MDSEV,36,42,78
frc2914,VAFAL,MDSEV,26,53,79
frc2961,VAFAL,MDSEV,31,49,80
frc2988,VABLA,MDOWI,205,96,301
frc2998,VAPOR,VAGLE,96,18,114
frc3136,VAPOR,VAASH,100,7,107
frc3359,VAPOR,VAGLE,12,103,115
frc3361,VABLA,VAGLE,118,87,205
frc3373,VABLA,VAASH,215,87,302
frc339,VAPOR,VAASH,134,50,184
frc346,VAPOR,VAGLE,112,32,144
frc3748,MDSEV,MDOWI,24,27,51
frc3793,VAFAL,MDOWI,52,55,107
frc384,VABLA,VAGLE,191,14,205
frc3939,VABLA,VAGLE,56,145,201
frc401,VABLA,VAGLE,11,188,199
frc404,VAPOR,VAGLE,92,43,135
frc4099,VAFAL,MDOWI,49,72,121
frc422,VAPOR,VAGLE,92,22,114
frc4286,VAPOR,VAGLE,87,19,106
frc4456,VAFAL,MDSEV,34,49,83
frc4464,MDSEV,MDOWI,25,43,68
frc4472,VAFAL,VAASH,24,72,96
frc449,VAFAL,MDSEV,29,34,63
frc4505,MDSEV,MDOWI,29,8,37
frc4541,MDSEV,MDOWI,8,33,41
frc4638,VAFAL,MDSEV,36,52,88
frc4821,VAFAL,MDSEV,35,50,85
frc5115,VAFAL,MDSEV,42,41,83
frc5243,VAFAL,VAASH,27,91,118
frc5338,VABLA,MDOWI,229,82,311
frc539,VAPOR,VAGLE,101,27,128
frc540,VABLA,VAGLE,191,16,207
frc5549,VAFAL,VAASH,5,89,94
frc5587,VAFAL,MDSEV,23,62,85
frc5724,VABLA,VAGLE,45,158,203
frc5804,VAPOR,VAGLE,106,20,126
frc5830,MDSEV,MDOWI,13,37,50
frc5841,VAFAL,MDOWI,61,58,119
frc5954,VABLA,VAPOR,181,144,325
frc611,VAFAL,MDSEV,11,61,72
frc612,VAFAL,VAASH,22,100,122
frc614,VAFAL,VAASH,26,87,113
frc617,VAPOR,VAGLE,80,26,106
frc6189,VABLA,VAGLE,174,50,224
frc619,VABLA,VAGLE,143,59,202
frc6194,VABLA,VAGLE,167,56,223
frc620,VAFAL,MDOWI,18,81,99
frc623,VAFAL,MDSEV,18,72,90
frc6239,VAFAL,MDSEV,34,42,76
frc6326,MDSEV,MDOWI,20,27,47
frc6504,VAFAL,VAASH,9,88,97
frc6802,VABLA,VAGLE,109,286,395
frc686,VABLA,MDOWI,256,60,316
frc6863,MDSEV,MDOWI,27,36,63
frc6882,VAPOR,VAASH,134,50,184
frc7429,VABLA,VAGLE,197,23,220
frc7770,MDSEV,MDOWI,45,45,90
frc7886,MDSEV,MDOWI,59,58,117
frc8197,MDSEV,MDOWI,32,50,82
frc8230,VAFAL,MDSEV,21,61,82
frc8326,VAFAL,MDSEV,26,53,79
frc836,VAFAL,VAASH,77,103,180
frc8514,MDSEV,MDOWI,38,33,71
frc8590,VAFAL,VAASH,15,92,107
frc8592,VAFAL,VAASH,15,92,107
frc8622,MDSEV,MDOWI,9,37,46
frc8726,VAFAL,MDOWI,48,49,97
frc888,MDSEV,MDOWI,31,32,63
frc9003,VABLA,VAPOR,119,221,340
frc9033,VAFAL,MDSEV,17,54,71
frc9072,MDSEV,MDOWI,16,28,44
frc9214,VABLA,VAPOR,288,17,305
frc9235,VABLA,VAASH,223,112,335
frc977,VABLA,VAPOR,164,173,337
