Team,E1,E2
frc1086,VAPOR,VAGLE
frc1111,MDSEV,MDOWI
frc1123,VABLA,VAFAL
frc116,VABLA,VAFAL
frc122,VAPOR,VAGLE
frc1262,VABLA,VAPOR
frc1389,MDSEV,VAFAL
frc1418,VAGLE,VAFAL
frc1446,MDSEV,MDOWI
frc1522,VAPOR,VAGLE
frc1599,VAPOR,VAGLE
frc1610,VAPOR,VAGLE
frc1629,VABLA,MDOWI
frc1719,MDSEV,MDOWI
frc1727,MDSEV,MDOWI
frc1731,VABLA,VAFAL
frc1793,VAPOR,VAGLE
frc1885,VABLA,VAFAL
frc1895,VABLA,VAFAL
frc1908,VAPOR,VAGLE
frc1915,MDSEV,MDOWI
frc2028,VAPOR,VAGLE
frc2068,VAGLE,VAFAL
frc2106,VAPOR,VAGLE
frc2186,VABLA,VAFAL
frc2199,MDSEV,MDOWI
frc2363,VAPOR,VAGLE
frc2377,MDSEV,MDOWI
frc2421,VAGLE,VAFAL
frc2534,MDSEV,MDOWI
frc2537,MDSEV,MDOWI
frc2849,MDSEV,MDOWI
frc2890,VAPOR,VAGLE
frc2900,VAPOR,VAFAL
frc2912,MDSEV,MDOWI
frc2914,MDSEV,VAFAL
frc2961,MDSEV,VAFAL
frc2988,VABLA,VAFAL
frc2998,VAPOR,VAGLE
frc3136,VAPOR,VAGLE
frc3359,VAPOR,VAGLE
frc3361,VABLA,VAGLE
frc3373,VABLA,VAFAL
frc339,VAPOR,VAFAL
frc346,VAPOR,VAGLE
frc3748,MDSEV,MDOWI
frc3793,MDSEV,MDOWI
frc384,VAPOR,VAGLE
frc3939,VABLA,VAFAL
frc401,VABLA,VAFAL
frc404,VAPOR,VAGLE
frc4099,MDSEV,MDOWI
frc422,VAPOR,VAGLE
frc4286,VAPOR,VAGLE
frc4456,MDSEV,MDOWI
frc4464,MDSEV,MDOWI
frc4472,VAGLE,VAFAL
frc449,MDSEV,MDOWI
frc4505,MDSEV,MDOWI
frc4541,MDSEV,MDOWI
frc4638,MDSEV,VAFAL
frc4821,MDSEV,VAFAL
frc5115,MDSEV,MDOWI
frc5243,VAGLE,VAFAL
frc5338,VABLA,VAFAL
frc539,VAPOR,VAGLE
frc540,VAPOR,VAGLE
frc5549,VAGLE,VAFAL
frc5587,VAGLE,VAFAL
frc5724,VABLA,VAFAL
frc5804,VAPOR,VAGLE
frc5830,MDSEV,MDOWI
frc5841,MDSEV,MDOWI
frc5954,VABLA,VAPOR
frc611,VAPOR,VAFAL
frc612,VABLA,VAFAL
frc614,VAPOR,VAFAL
frc617,VAPOR,VAGLE
frc6189,VABLA,VAGLE
frc619,VABLA,VAGLE
frc6194,VABLA,VAGLE
frc620,VABLA,VAFAL
frc623,VABLA,VAFAL
frc6239,MDSEV,MDOWI
frc6326,MDSEV,MDOWI
frc6504,VAGLE,VAFAL
frc6802,VABLA,VAFAL
frc686,MDSEV,MDOWI
frc6863,MDSEV,MDOWI
frc6882,VAPOR,VAFAL
frc7429,VAPOR,VAGLE
frc7770,MDSEV,MDOWI
frc7886,MDSEV,MDOWI
frc8197,MDSEV,MDOWI
frc8230,VAPOR,VAFAL
frc8326,MDSEV,VAFAL
frc836,VAGLE,MDOWI
frc8514,MDSEV,MDOWI
frc8590,VAGLE,VAFAL
frc8592,VAGLE,VAFAL
frc8622,MDSEV,MDOWI
frc8726,MDSEV,MDOWI
frc888,MDSEV,MDOWI
frc9003,VABLA,VAPOR
frc9033,VAPOR,VAFAL
frc9072,MDSEV,MDOWI
frc9214,VAPOR,VAGLE
frc9235,VABLA,VAFAL
frc977,VABLA,VAPOR
