Team,E1,E2,E1_COST,E2_COST,TOTAL_COST
frc1086,VAPOR,VAGLE,94,11,105
frc1111,MDSEV,MDOWI,22,46,68
frc1123,VAALE,VAFAL,30,15,45
frc116,VAALE,VAFAL,41,24,65
frc122,VAPOR,VAGLE,27,78,105
frc1262,VABLA,VAPOR,108,239,347
frc1389,VAALE,VAFAL,42,26,68
frc1418,VAALE,VAFAL,24,5,29
frc1446,VAALE,MDSEV,30,41,71
frc1522,VAPOR,VAGLE,99,25,124
frc1599,VAPOR,VAGLE,99,25,124
frc1610,VABLA,VAPOR,273,52,325
frc1629,VABLA,MDOWI,279,159,438
frc1719,MDSEV,MDOWI,33,11,44
frc1727,MDSEV,MDOWI,35,19,54
frc1731,VABLA,VAFAL,214,42,256
frc1793,VAPOR,VAGLE,27,96,123
frc1885,VABLA,VAFAL,213,28,241
frc1895,VAALE,VAFAL,47,31,78
frc1908,VAPOR,VAGLE,69,144,213
frc1915,VAALE,MDSEV,34,42,76
frc2028,VAPOR,VAGLE,31,86,117
frc2068,VAALE,VAFAL,42,33,75
frc2106,VABLA,VAGLE,181,25,206
frc2186,VAALE,VAFAL,40,24,64
frc2199,MDSEV,MDOWI,35,16,51
frc2363,VAPOR,VAGLE,35,77,112
frc2377,MDSEV,MDOWI,13,34,47
frc2421,VAALE,VAFAL,20,20,40
frc2534,MDSEV,MDOWI,38,20,58
frc2537,MDSEV,MDOWI,27,35,62
frc2849,MDSEV,MDOWI,26,37,63
frc2890,VAPOR,VAGLE,38,144,182
frc2900,VAALE,VAFAL,29,17,46
frc2912,VAALE,MDSEV,34,42,76
frc2914,VAALE,VAFAL,41,26,67
frc2961,VAALE,VAFAL,32,31,63
frc2988,VABLA,VAFAL,205,61,266
frc2998,VAPOR,VAGLE,96,18,114
frc3136,VAPOR,VAGLE,100,20,120
frc3359,VAPOR,VAGLE,12,103,115
frc3361,VABLA,VAGLE,118,87,205
frc3373,VABLA,VAFAL,215,43,258
frc339,VABLA,VAALE,226,51,277
frc346,VABLA,VAPOR,205,112,317
frc3748,MDSEV,MDOWI,24,27,51
frc3793,MDSEV,MDOWI,56,55,111
frc384,VAPOR,VAGLE,100,14,114
frc3939,VABLA,VAGLE,56,145,201
frc401,VABLA,VAGLE,11,188,199
frc404,VAPOR,VAGLE,92,43,135
frc4099,VAALE,VAFAL,64,49,113
frc422,VAPOR,VAGLE,92,22,114
frc4286,VAPOR,VAGLE,87,19,106
frc4456,MDSEV,VAFAL,49,34,83
frc4464,MDSEV,MDOWI,25,43,68
frc4472,VAALE,VAFAL,17,24,41
frc449,MDSEV,VAFAL,34,29,63
frc4505,MDSEV,MDOWI,29,8,37
frc4541,MDSEV,MDOWI,8,33,41
frc4638,VAALE,VAFAL,50,36,86
frc4821,VAALE,VAFAL,45,35,80
frc5115,MDSEV,VAFAL,41,42,83
frc5243,VAALE,VAFAL,31,27,58
frc5338,VAALE,VAFAL,53,38,91
frc539,VAPOR,VAGLE,101,27,128
frc540,VABLA,VAGLE,191,16,207
frc5549,VAALE,VAFAL,25,5,30
frc5587,VAALE,VAFAL,20,23,43
frc5724,VABLA,VAGLE,45,158,203
frc5804,VAPOR,VAGLE,106,20,126
frc5830,MDSEV,MDOWI,13,37,50
frc5841,MDSEV,MDOWI,59,58,117
frc5954,VABLA,VAPOR,181,144,325
frc611,VAALE,VAFAL,33,11,44
frc612,VAALE,VAFAL,37,22,59
frc614,VAALE,VAFAL,5,26,31
frc617,VAPOR,VAGLE,80,26,106
frc6189,VABLA,VAGLE,174,50,224
frc619,VABLA,VAGLE,143,59,202
frc6194,VABLA,VAGLE,167,56,223
frc620,VAALE,VAFAL,33,18,51
frc623,VAALE,VAFAL,33,18,51
frc6239,VAALE,VAFAL,37,34,71
frc6326,MDSEV,MDOWI,20,27,47
frc6504,VAALE,VAFAL,22,9,31
frc6802,VABLA,VAGLE,109,286,395
frc686,MDSEV,MDOWI,72,60,132
frc6863,MDSEV,MDOWI,27,36,63
frc6882,VABLA,VAALE,226,51,277
frc7429,VABLA,VAGLE,197,23,220
frc7770,MDSEV,MDOWI,45,45,90
frc7886,MDSEV,MDOWI,59,58,117
frc8197,VAALE,MDSEV,36,32,68
frc8230,VAALE,VAFAL,24,21,45
frc8326,VAALE,VAFAL,41,26,67
frc836,VAALE,VAFAL,71,77,148
frc8514,MDSEV,MDOWI,38,33,71
frc8590,VAALE,VAFAL,30,15,45
frc8592,VAALE,VAFAL,30,15,45
frc8622,MDSEV,MDOWI,9,37,46
frc8726,MDSEV,MDOWI,49,49,98
frc888,MDSEV,MDOWI,31,32,63
frc9003,VABLA,VAPOR,119,221,340
frc9033,VAALE,VAFAL,23,17,40
frc9072,MDSEV,MDOWI,16,28,44
frc9214,VABLA,VAPOR,288,17,305
frc9235,VABLA,VAFAL,223,39,262
frc977,VABLA,VAPOR,164,173,337
